"ERROR_INVALID_INPUT","Zertifikatsdatei und Passwort erforderlich"
"ERROR_INVALID_UNKNOWN","Zertifikat kann nicht validiert werden. Bitte erneut versuchen"
"ERROR_INVALID_CERTIFICATE_FORMAT","Zertifikatsformat ungültig"
"ERROR_INVALID_PASSPHRASE","Passwort ungültig"
"ERROR_INVALID_ISSUER_COUNTRY","Land des Herausgebers ungültig"
"ERROR_INVALID_ISSUER_ORGANIZATION","Organisation des Herausgebers ungültig"
"ERROR_INVALID_EXPIRY_DATE","Verfalldatum ungültig"
"ERROR_CERTIFICATE_EXPIRED","Zertifikat abgelaufen"
"ERROR_CERTIFICATE_NOT_YET_VALID","Zertifikat noch nicht gültig"
"View","Anzeigen"
"TWINT","TWINT"
"Switch to TWINT app now","Wechseln Sie jetzt zur TWINT-App"
"Choose your TWINT app","TWINT App auswählen"
"Other banks","Andere Banken"
"or","oder"
"Enter this code in your TWINT app:","Diesen Code in der TWINT App eingeben:"
"Certificate validation successful","Zertifikat erfolgreich validiert"
"Something went wrong while processing the data.","Beim Verarbeiten der Daten ist ein Fehler aufgetreten."
"Invalid credentials. Please check again: Store UUID, certificate and environment (mode)","" certificate and environment (mode)","Ungültige Zugangsdaten. Bitte überprüfen: UUID Ihres Stores, Zertifikat und Umfeld (Modus)"
"Request Log","Anfragelogbuch"
"Choose file","Datei auswählen"
"Only .p12 files are allowed","Nur .p12-Dateien sind erlaubt"
"Certificate password is required","Zertifikatspasswort erforderlich"
"Certificate encrypted and stored","Zertifikat verschlüsselt und gespeichert"
"Upload new certificate","Neues Zertifikat hochladen"
"Production","Produktion"
"Test","Test"
"Product detail page","Produktdetailseite"
"Product listing page","Zur Produktliste"
"Cart page","Warenkorb"
"Cart flyout","Warenkorb-Flyout"
"Captured amount of CHF %1, Transaction ID %2",Erfasster Betrag von CHF %1, Transaktions-ID %2"
"Amount to refund should be greater than 0","Der zu erstattende Betrag sollte grösser als 0 sein"
"Total amount should not exceed the maximum refundable amount","Der Gesamtbetrag sollte den erstattungsfähigen Höchstbetrag nicht überschreiten"
"Transaction logs","Transaktionsverlauf (Logs)"
"API method","API-Methode"
"Request","Anfrage"
"Response","Antwort"
"Express Checkout","Express Checkout"
"Copy code","Code kopieren"
"Scan this QR Code with your TWINT app to complete the checkout.","Diesen QR-Code mit der TWINT App scannen"," um den Bestellvorgang abzuschliessen.",
"Select a shipping address and complete the purchase in the app.","Lieferadresse auswählen und Kauf in der App abschliessen."
"Follow the instructions in the app to confirm your order.","Folge den Anweisungen in der App, um deine Bestellung zu bestätigen."
"TWINT Checkout","TWINT Checkout"
"Invalid Store UUID. Store UUID needs to be a UUIDv4","Ungültige Zugangsdaten. Bitte überprüfen: UUID Ihres Stores"," Zertifikat und Umfeld (Modus)",
"Validating credentials","Anmeldeinformationen werden überprüft"
"Saving...","Speichern..."
"Copied!","Kopiert!"
"Cancel checkout","Checkout abbrechen"
"Payment method offered by TWINT","Zahlungsmethode angeboten von TWINT"
"Configuration","Konfiguration"
"Credentials","Credentials"
"Store UUID","UUID Ihres Stores"
"Environment","Umgebung"
"Certificate","Zertifikat"
"TWINT Express Checkout","TWINT Express Checkout"
"Display screens","Screens anzeigen"
"Where users see the TWINT Express Checkout button","Hier sehen die Nutzerinnen und Nutzer die Schaltfläche TWINT Express Checkout"
"Order","Bestellung"
"Store","Geschäft"
"Amount","Betrag"
"Status","Status"
"Pairing Status","Pairing-Status"
"Transaction Status","Transaktionsstatus"
"Transaction Date","Transaktionsdatum"
"Actions","Aktionen"
"Reversal ID","Storno-ID"
"Pairing ID","Pairing-ID"
"Refunded by","Erstattet von"
"Refund Date","Rückerstattungsdatum"
"ID","ID"
"Token","Token"
"TWINT Configuration","TWINT-Konfiguration"
"TWINT statuses","TWINT-Status"
"Shipping Method","Versandmethode"
"Customer Data","Kundendaten"
"History ID","Historien-ID"
"Payment did not succeed, please try another payment method.","Die Zahlung war nicht erfolgreich, bitte versuchen Sie eine andere Zahlungsmethode."
